SAMPLE ID	IGSN	SOURCE	REFERENCE	CRUISE ID	LATITUDE	LONGITUDE	LOC PREC	MIN AGE	AGE	MAX AGE	MATERIAL	TYPE	COMPOSITION	ROCK NAME	MINERAL	SIO2	TIO2	AL2O3	CR2O3	FE2O3	FE2O3T	FEO	FEOT	NIO	MNO	MGO	CAO	NA2O	K2O	P2O5	BAO	LOI	H2O	H2O_M	H2O_P	SO3	V2O3	ZNO	FE	MN	NI	CO	CU	CD	ZN	AS	AG	S	AL	CA	MG	SR87_SR86	SR87_SR86_INI	RB87_SR86	ND143_ND144	SM147_ND144	PB206_PB204	PB207_PB204	PB208_PB204	BE10	BE10_BE9	SR87_SR86_INI	AR	AR39	AR40	AR38_AR36	AR40_AR36	AR40_AR39	LA	CE	PR	ND	SM	EU	GD	TB	DY	HO	ER	TM	YB	LU	CO2	F	CL	OH	U238_PB204	TH232_PB204	RA	AG	AL	AS	AU	B	BA	BE	BI	BR	C	CA	CD	CO	CR	CS	CU	GA	GER	HF	HG	I	INDIUM	K	LI	MG	MN	MO	NA	NB	NI	P	PB	PD	RB	RE	S	SB	SC	SE	SN	SR	TA	TE	TH	TI	TL	U	V	W	Y	ZN	ZR	TI	AS	AS	GER	H2O_M	H2O_P	H2O_M	H2O_P	INDIUM
T12		GEOROC	MATTEINI, M.; MAZZUOLI, R.; OMARINI, R. H.; CAS, R. A. F.; MAAS, R., 2002		-24.1419	-67.1806	0.01				igneous	volcanic	felsic	dacite		66.599	0.67	14.893					3.746		0.061	2.558	3.726	4.376	3.056	0.315			1.09								33.3	13.8										0.706025			0.512579			15.631	38.788										39.3	71.4	7.9	28.6	4.7	1.2	3.3	0.4	1.9	0.3	0.8	0.1	0.7	0.1													978.6							13.8	78.1															23.1	33.3				88.4							784.5							90.7		9.7		63.7									
RIN 11		GEOROC	MATTEINI, M.; MAZZUOLI, R.; OMARINI, R. H.; CAS, R. A. F.; MAAS, R., 2002		-24.0747	-67.3447	0.01				igneous	volcanic	felsic	dacite		65.762	0.7	16.108					4.567		0.101	2.039	4.514	3.723	2.201	0.284			1.1								15	17																											33	68																									576							17	28															21	15				87							500							118		20		162									
Z 214		GEOROC	ZEIL, W.; PICHLER, H., 1968		-23.85	-67.43	0.01				igneous	volcanic	felsic	rhyodacite		71.241	0.404	15.259					2.233		0.061	0.707	2.122	4.446	3.436	0.091			0.5																																																																																																																					
Z 214		GEOROC	EL-HINNAWI, E. E.; PICHLER, H.; ZEIL, W., 1969		-23.85	-67.43	0.01				igneous	volcanic	felsic	rhyodacite																												5	4																																																				570							5			4	3															50								40	180							40				120									
F-80		GEOROC	BECCAR, I.; VERGARA, M. M.; MUNIZAGA, F., 1986		-32.3417	-70.3167	0.01		18.1		igneous	volcanic	felsic	rhyolite																																																			2.514e-06																																															3.564																																						
CN37		GEOROC	HOLLINGS, P.; COOKE, D. R.; CLARK, A. H., 2005		-32.7048	-70.5452	0.01				igneous	volcanic	felsic	dacite		63.458	0.603	18.772					3.95		0.05	1.607	4.901	5.002	1.456	0.201		3.63									7.06	11.06	52.5		65.8							0.70379			0.512875	0.11109													9.44	25.94	3.18	14.22	2.61	0.84	1.94	0.26	1.22	0.22	0.56		0.5	0.08													624.6							11.06	9.34	4.13	52.5			2.19								0.51		1.76	7.06		4.77		23				7.1			819	0.17		0.74			0.19	93.8		5.3	65.8	75.4									
2010-R		GEOROC	VERGARA, M. M.; CHARRIER, R.; MUNIZAGA, F.; RIVANO, S.; SEPULVEDA, P.; THIELE, R.; DRAKE, R., 1988		-32.2523	-70.3888	0.01		17.8		igneous	volcanic	felsic	rhyolite																																																			2.899e-06																																															4.166																																						
AB-5		GEOROC	HILDRETH, W.; MOORBATH, S., 1988		-32.5	-70	0.01				igneous	volcanic	felsic	rhyolite																																						0.7617		11.76																																																																					190							47																				
A-1756		GEOROC	MUNIZAGA, F.; VICENTE, J. C., 1982		-32.3	-70.4	0.01		6.1		igneous	volcanic	felsic	dacite																																																			5.202e-07																																															2.14																																						
CN18		GEOROC	HOLLINGS, P.; COOKE, D. R.; CLARK, A. H., 2005		-32.4759	-70.4245	0.01				igneous	volcanic	felsic	dacite		71.311	0.481	14.894					2.852		0.05	0.963	5.346	3.32	0.702	0.08		8.03									6.14	7.29	42.1		28.2							0.70411		0.75112	0.512847	0.11901													37.62	69.7	7.2	29.9	5.88	0.78	5.36	0.93	5.41	1.16	3.45		3.66	0.58													648.8							7.29	15.77	102.1	42.1			9.62								4.98		9.46	6.14		21.09		78				9.9			300	0.93		24.55			6.84	51.3		31.4	28.2	332.3									
F-148		GEOROC	BECCAR, I.; VERGARA, M. M.; MUNIZAGA, F., 1986		-32.3417	-70.3167	0.01		18.6		igneous	volcanic	felsic	rhyolite																																																			2.622e-06																																															3.604																																						
AB-6		GEOROC	HILDRETH, W.; MOORBATH, S., 1988		-32.5	-70	0.01				igneous	volcanic	felsic	rhyolite																																						0.7608		13.97																																																																					211							44																				
CN40		GEOROC	HOLLINGS, P.; COOKE, D. R.; CLARK, A. H., 2005		-32.6664	-70.5214	0.01				igneous	volcanic	felsic	dacite		65.137	0.432	17.745					3.832		0.11	1.426	3.645	5.594	1.778	0.301		1.51									2.41	6.58	93.7		10.8																								18.57	41.22	5.45	20.71	4.06	1.12	3.15	0.44	2.56	0.51	1.47		1.51	0.24													558							6.58	2.13	1.16	93.7			4.38								0.7		4.16	2.41		9.54		34				4.6			573	0.31		3.2			0.93	32.3		14.1	10.8	159.2									
CN20		GEOROC	HOLLINGS, P.; COOKE, D. R.; CLARK, A. H., 2005		-32.4759	-70.4245	0.01				igneous	volcanic	felsic	rhyolite		75.238	0.26	13.451					1.505		0.04	0.28	0.771	3.836	4.567	0.05		0.59									1.2	1.91	19.8		10.1																								21.02	45.07	5.67	20.32	3.98	0.51	3.47	0.57	3.52	0.75	2.29		2.5	0.39													625.6							1.91	1.61	3.12	19.8			5.78								1.11		6.64	1.2		8.25		181				3.9			78	0.73		23.13			6.22	9.8		20.9	10.1	189.8									
NB8/99		GEOROC	HALTER, W. E.; BAIN, N.; BECKER, K.; HEINRICH, C. A.; LANDTWING, M.; VON QUADT, A.; CLARK, A. H.; SASSO, A. M.; BISSIG, T.; TOSDAL, R. M., 2004		-27.17	-66.58	0.01				igneous	volcanic	felsic	dacite		63.591	0.696	16.714					4.779		0.128	1.863	5.889	2.377	3.662	0.3		6									0	16	5		91			0																					38	72		32												325											534							16	18		5	5												32	0		14		113		0		14			353			0			0	169		27	91	158									
NB8/99		GEOROC	HALTER, W. E.; BAIN, N.; BECKER, K.; HEINRICH, C. A.; LANDTWING, M.; VON QUADT, A.; CLARK, A. H.; SASSO, A. M.; BISSIG, T.; TOSDAL, R. M., 2004		-27.17	-66.58	0.01				igneous	volcanic	felsic	dacite																																						0.70678			0.51243																	22.3	4.5																																																		99.9							329.3																				
NB74/00		GEOROC	HALTER, W. E.; BAIN, N.; BECKER, K.; HEINRICH, C. A.; LANDTWING, M.; VON QUADT, A.; CLARK, A. H.; SASSO, A. M.; BISSIG, T.; TOSDAL, R. M., 2004		-27.17	-66.58	0.01				igneous	volcanic	felsic	dacite																																						0.70721																				23.1	4.7																																																		27.1							294.6																				
9_9/99		GEOROC	HALTER, W. E.; BAIN, N.; BECKER, K.; HEINRICH, C. A.; LANDTWING, M.; VON QUADT, A.; CLARK, A. H.; SASSO, A. M.; BISSIG, T.; TOSDAL, R. M., 2004		-27.17	-66.58	0.01				igneous	volcanic	felsic	rhyodacite		67.089	0.4	16.254					2.92		0.103	1.088	4.836	3.891	3.234	0.185		1.74									0	9	0		44			0																					16	51		19												415											669							9	13		0	5												27	0		5		103		0		4			635			0			0	76		21	44	142									
9_9/99		GEOROC	HALTER, W. E.; BAIN, N.; BECKER, K.; HEINRICH, C. A.; LANDTWING, M.; VON QUADT, A.; CLARK, A. H.; SASSO, A. M.; BISSIG, T.; TOSDAL, R. M., 2004		-27.17	-66.58	0.01				igneous	volcanic	felsic	rhyodacite																																						0.70863			0.512434																	23.9	5																																																		30.3							238.4																				
T4		GEOROC	KAY, S. M.; MAKSAEV, V.; MOSCOSO, R. D.; MPODOZIS, C. M.; NASI, C. P.; GORDILLO, C. E., 1988		-27	-66.75	0.01	5.3	14.15	23	igneous	volcanic	felsic	dacite		64.463	0.815	15.605					5.433		0.08	2.425	5.815	2.847	2.214	0.302											15	12																											27.3	54		24.8	4.5	1.3		0.635					1.68	0.273													904.6							12	42	1.8				4.4											15				80				12.1			961	1.36		6.6			1.5														
ML41		GEOROC	HALTER, W. E.; BAIN, N.; BECKER, K.; HEINRICH, C. A.; LANDTWING, M.; VON QUADT, A.; CLARK, A. H.; SASSO, A. M.; BISSIG, T.; TOSDAL, R. M., 2004		-27.17	-66.58	0.01				igneous	volcanic	felsic	rhyodacite		68.806	0.352	16.383					2.387		0.073	0.622	4.559	3.015	3.648	0.155		2.73									0	10	0		44			0																					29	54		30												481											672							10	20		0	5												27	0		0		116		0		5			552			0			0	81		16	44	139									
1/11		GEOROC	FERNANDEZ, A.; HÖRMANN, P. K.; KUSSMAUL, S.; MEAVE, J.; PICHLER, H.; SUBIETA, T., 1973		-22.02	-67.55	0.01				igneous	volcanic	felsic	rhyodacite		66.977	0.87	15.523					4.813		0.061	1.843	3.533	2.202	3.983	0.195				0.72	0.82						15				84																																						0.35																																				15				206							339										84	129					0.72	0.82	0.72	0.82	
N16F		GEOROC	HARMON, R. S.; BARREIRO, B. A.; MOORBATH, S.; HOEFS, J.; FRANCIS, P. W.; THORPE, R. S.; DERUELLE, B.; MCHUGH, J.; VIGLINO, J. A., 1984		-21.87	-68	0.01	0	11.5	23	igneous	volcanic	felsic	dacite																																						0.71347																																																																																																		
2/3		GEOROC	FERNANDEZ, A.; HÖRMANN, P. K.; KUSSMAUL, S.; MEAVE, J.; PICHLER, H.; SUBIETA, T., 1973		-21.88	-67.32	0.01				igneous	volcanic	felsic	rhyodacite		66.565	0.6	17.419					3.57		0.071	0.905	3.884	3.285	3.549	0.153				0.65	0.89						9	11	8		269																																						0.06																			11			8														9				117							218										269	36					0.65	0.89	0.65	0.89	
1/9		GEOROC	FERNANDEZ, A.; HÖRMANN, P. K.; KUSSMAUL, S.; MEAVE, J.; PICHLER, H.; SUBIETA, T., 1973		-22.22	-67.88	0.01				igneous	volcanic	felsic	dacite		64.113	0.743	16.593					4.706		0.092	2.494	4.693	3.298	3.085	0.183				0.08	1.25						10				7128																																						0.09																																				10				135							432										7128	99					0.08	1.25	0.08	1.25	
2/4		GEOROC	FERNANDEZ, A.; HÖRMANN, P. K.; KUSSMAUL, S.; MEAVE, J.; PICHLER, H.; SUBIETA, T., 1973		-21.95	-67.35	0.01				igneous	volcanic	felsic	dacite		61.659	0.652	17.998					5.317		0.122	2.056	5.1	3.227	3.695	0.173				0.65	0.92						18	15	14		123																																						0.09																			15			14														18				100							254										123	24					0.65	0.92	0.65	0.92	
2/6		GEOROC	FERNANDEZ, A.; HÖRMANN, P. K.; KUSSMAUL, S.; MEAVE, J.; PICHLER, H.; SUBIETA, T., 1973		-22.32	-67.7	0.01				igneous	volcanic	felsic	rhyodacite		66.086	0.651	17.16					3.583		0.061	1.547	3.746	3.155	3.888	0.122				0.22	1.23						8	8	9		92																																						0.12																			8			9														8				114							238										92	34					0.22	1.23	0.22	1.23	
A		GEOROC	ZEIL, W.; PICHLER, H., 1968		-22	-68	0.01				igneous	volcanic	felsic	rhyolite		74.493	0.181	14.509					1.075		0.131	0.221	1.458	3.861	4.042	0.03			0.34																																																																																																																					
1/13		GEOROC	FERNANDEZ, A.; HÖRMANN, P. K.; KUSSMAUL, S.; MEAVE, J.; PICHLER, H.; SUBIETA, T., 1973		-22.15	-67.23	0.01				igneous	volcanic	felsic	rhyodacite		69.189	0.437	15.698					3.506		0.051	0.977	2.36	3.184	4.415	0.183				0.7	0.73						15	5	35		40																																						0.13																			5			35														15				261							218										40	90					0.7	0.73	0.7	0.73	
N16B		GEOROC	HARMON, R. S.; BARREIRO, B. A.; MOORBATH, S.; HOEFS, J.; FRANCIS, P. W.; THORPE, R. S.; DERUELLE, B.; MCHUGH, J.; VIGLINO, J. A., 1984		-21.87	-68	0.01	0	11.5	23	igneous	volcanic	felsic	dacite																																						0.71492																																																																																																		
N16E		GEOROC	HARMON, R. S.; BARREIRO, B. A.; MOORBATH, S.; HOEFS, J.; FRANCIS, P. W.; THORPE, R. S.; DERUELLE, B.; MCHUGH, J.; VIGLINO, J. A., 1984		-21.87	-68	0.01	0	11.5	23	igneous	volcanic	felsic	dacite																																						0.71425																																																																																																		
1/7		GEOROC	FERNANDEZ, A.; HÖRMANN, P. K.; KUSSMAUL, S.; MEAVE, J.; PICHLER, H.; SUBIETA, T., 1973		-22.15	-67.8	0.01				igneous	volcanic	felsic	rhyodacite		63.434	0.926	16.769					5.151		0.07	2.285	5.123	2.808	3.261	0.171				0.24	0.3						6	10	8		108																																						0.09																			10			8														6				114							184										108	56					0.24	0.3	0.24	0.3	
1/17		GEOROC	FERNANDEZ, A.; HÖRMANN, P. K.; KUSSMAUL, S.; MEAVE, J.; PICHLER, H.; SUBIETA, T., 1973		-22.18	-67.22	0.01				igneous	volcanic	felsic	dacite		62.738	0.914	16.104					6.548		0.081	2.855	4.714	2.692	3.18	0.173				0.55	0.56						21	11	73		54																																						0.25																			11			73														21				197							456										54	213					0.55	0.56	0.55	0.56	
N16C		GEOROC	HARMON, R. S.; BARREIRO, B. A.; MOORBATH, S.; HOEFS, J.; FRANCIS, P. W.; THORPE, R. S.; DERUELLE, B.; MCHUGH, J.; VIGLINO, J. A., 1984		-21.87	-68	0.01	0	11.5	23	igneous	volcanic	felsic	dacite																																						0.70904																																																																																																		
N16H		GEOROC	HARMON, R. S.; BARREIRO, B. A.; MOORBATH, S.; HOEFS, J.; FRANCIS, P. W.; THORPE, R. S.; DERUELLE, B.; MCHUGH, J.; VIGLINO, J. A., 1984		-21.87	-68	0.01	0	11.5	23	igneous	volcanic	felsic	rhyolite																																						0.71044					18.76	15.68	39.03																																																																																											
1/6		GEOROC	FERNANDEZ, A.; HÖRMANN, P. K.; KUSSMAUL, S.; MEAVE, J.; PICHLER, H.; SUBIETA, T., 1973		-22.22	-67.25	0.01				igneous	volcanic	felsic	dacite		63.447	1.044	16.599					5.119		0.081	2.535	4.938	2.312	3.661	0.264				0.14	1.15						4	11	4		137																																						0.05																			11			4														4				105							255										137	98					0.14	1.15	0.14	1.15	
1/12		GEOROC	FERNANDEZ, A.; HÖRMANN, P. K.; KUSSMAUL, S.; MEAVE, J.; PICHLER, H.; SUBIETA, T., 1973		-22.17	-67.22	0.01				igneous	volcanic	felsic	rhyodacite		69.621	0.493	15.936					3.449		0.041	0.935	2.291	3.247	3.812	0.175				1.03	0.93						14	13	27		46																																						0.16																			13			27														14				294							200										46	93					1.03	0.93	1.03	0.93	
1/5		GEOROC	FERNANDEZ, A.; HÖRMANN, P. K.; KUSSMAUL, S.; MEAVE, J.; PICHLER, H.; SUBIETA, T., 1973		-22.25	-67.23	0.01				igneous	volcanic	felsic	rhyodacite		67.638	1.016	16.606					2.106		0.073	1.618	3.786	2.417	4.45	0.29				0.17	1.34						5	10	6		142																																						0.06																			10			6														5				129							237										142	134					0.17	1.34	0.17	1.34	
2/5		GEOROC	FERNANDEZ, A.; HÖRMANN, P. K.; KUSSMAUL, S.; MEAVE, J.; PICHLER, H.; SUBIETA, T., 1973		-22.2	-67.25	0.01				igneous	volcanic	felsic	rhyodacite		67.409	0.622	16.676					3.553		0.031	1.275	3.764	3.019	3.519	0.133				0.62	1.08						5	8	4		319																																						0.09																			8			4														5				114							197										319	33					0.62	1.08	0.62	1.08	
1/16		GEOROC	FERNANDEZ, A.; HÖRMANN, P. K.; KUSSMAUL, S.; MEAVE, J.; PICHLER, H.; SUBIETA, T., 1973		-22.23	-67.58	0.01				igneous	volcanic	felsic	rhyolite		70.303	0.584	16.036					2.001		0.052	0.761	2.542	3.22	4.314	0.188				0.64	0.96						16	7	53		1122																																						0.47																			7			53														16				270							252										1122	112					0.64	0.96	0.64	0.96	
N16G		GEOROC	HARMON, R. S.; BARREIRO, B. A.; MOORBATH, S.; HOEFS, J.; FRANCIS, P. W.; THORPE, R. S.; DERUELLE, B.; MCHUGH, J.; VIGLINO, J. A., 1984		-21.87	-68	0.01				igneous	volcanic	felsic	dacite																																						0.71367																																																																																																		
N16M		GEOROC	HARMON, R. S.; BARREIRO, B. A.; MOORBATH, S.; HOEFS, J.; FRANCIS, P. W.; THORPE, R. S.; DERUELLE, B.; MCHUGH, J.; VIGLINO, J. A., 1984		-21.87	-68	0.01				igneous	volcanic	felsic	rhyolite																																						0.71083																																																																																																		
83018		GEOROC	DE SILVA, S. L., 1989		-22	-67.7	0.01				igneous	volcanic	felsic	dacite		67.844	0.64	15.343					3.891		0.06	1.53	3.491	3.111	3.941	0.15				2.1																																																																					45															14												345			17				84		21							2.1		2.1		
83018B		GEOROC	DE SILVA, S. L., 1989		-22	-67.7	0.01				igneous	volcanic	felsic	dacite		59.652	0.75	16.945					7.038		0.13	3.129	5.868	2.929	3.389	0.17				2.53																																																																					63															15												400			10				166		54							2.53		2.53		
1/10		GEOROC	FERNANDEZ, A.; HÖRMANN, P. K.; KUSSMAUL, S.; MEAVE, J.; PICHLER, H.; SUBIETA, T., 1973		-22.3	-67.7	0.01				igneous	volcanic	felsic	dacite		63.857	0.697	16.87					5.169		0.081	2.07	5.098	2.978	3.009	0.172				0.18	0.29						8	11	68		42																																						0.29																			11			68														8				135							109										42	192					0.18	0.29	0.18	0.29	
D354498		USGS	USGS, 2008		-22.35	-67.75	0.01	3	3	3	igneous	volcanic	felsic	tuff																									0.2				2.2	0.041	4.7	1.5	0.055			0.1																																								0.055		1.5		10	1500	1.5				0.1	0.041				2.2				5.6							0.2		20			19					1.2				300				0.7	0.2		30			4.7	200	0.7	1.5	1.5						
D354500		USGS	USGS, 2008		-21.7167	-67.6167	0.01	3	3	3	igneous	volcanic	felsic	tuff																									2	500	5		39	3.5	280	110	9.2				0.7																																0.02	0.05						9.2		110	0.02	150	500	1.5					3.5		50		39	30								0.7	500	0.2			5		1100					65	10							0.7	4		100		15	280	150	0.7	110	110						
D354511		USGS	USGS, 2008		-22.3	-67.75	0.01	3	3	3	igneous	volcanic	felsic	tuff		63.099	0.853	18.54					2.992		0.084	2.918	5.836	3.055	2.486	0.137		1.53							5	700	7	20	4.2	0.049	16	3.8				3	1.5																																	0.01	0.02							3.8		10	300	1				3	0.049	20	50		4.2	20								1.5	700	0.75	1.5		7		7						15			500				0.3			150		20	16	100	0.3	3.8	3.8						
D354512		USGS	USGS, 2008		-22.1667	-67.6	0.01	3	3	3	igneous	volcanic	felsic	tuff		66.147	0.8	16.822					2.451		0.073	2.336	5.057	2.856	3.281	0.177		0.37							5	700	5	20	3	0.066	12					3	1																																	0.02	0.02									20	500					3	0.066	20	15		3	30								1	700	0.44	2		5		6.3						15			500				0.7	0.75		150		20	12	150	0.7								
CG298A		GEOROC	WRIGHT, H. M. N.; FOLKES, C. B.; CAS, R. A. F.; CASHMAN, K. V., 2011		-25.6745	-66.8568	0.01				igneous	volcanic	felsic	dacite		63.936	1.077	16.488					4.851		0.082	2.218	4.05	3.446	3.448	0.403						0.01314					5.34238		7.6		104.5																								69	131.9	16.081	55.4	10.9134	1.56193	7.97954	1.06313	5.25086	0.880813	2.1168	0.283414	1.62851	0.234376			0.02552										463.5								17.2	13.4	7.6	25.2		6.68667										21.9	5.34238		9.1		253.1				9.7			312.6	1.79786		23.5			7.8	125.8		24.2	104.5	244.1									
CG337		GEOROC	WRIGHT, H. M. N.; FOLKES, C. B.; CAS, R. A. F.; CASHMAN, K. V., 2011		-25.492	-66.8631	0.01				igneous	volcanic	felsic	dacite		70.123	0.525	15.086					2.655		0.042	0.986	2.396	3.262	4.742	0.183						0.00973					1.29808		22.5		49.7																								44	98.3	10.9915	40.1	7.49559	1.23258	5.40603	0.745977	3.79845	0.659175	1.66256	0.234578	1.4275	0.220617			0.00934										485.2								13	33.3	22.5	21.5		5.16655										17.6	1.29808		23.9		295.5				6.4			268.4	2.2237		22.7			11.9	59		18.5	49.7	175.5									
CG299		GEOROC	WRIGHT, H. M. N.; FOLKES, C. B.; CAS, R. A. F.; CASHMAN, K. V., 2011		-25.6745	-66.8568	0.01				igneous	volcanic	felsic	dacite		69.404	0.643	15.069					3.165		0.055	1.225	2.67	3.258	4.284	0.227						0					2.04621		11.5		52.4																								50.2	101.7	11.6011	42.9	7.82312	1.28936	5.7609	0.781832	3.97922	0.691423	1.70834	0.235688	1.43376	0.215503			0.02729										475.5								17	16.2	11.5	22.2		5.92266										18.6	2.04621		7.9		268.6				6.8			294.9	2.08303		28.6			11.4	71.4		18.7	52.4	202.8									
SAF366B		GEOROC	KAY, S. M.; COIRA, B. L.; WÖRNER, G.; KAY, R. W.; SINGER, B. S., 2011		-25.7031	-66.8793	0.01				igneous	volcanic	felsic	dacite		69.684	0.571	15.178					2.935		0.047	1.101	2.545	3.424	4.325	0.191		1.00615									6	6.0732																											47.9429	100.01	9.33	42.3302	8.71	1.011	5.0197	0.703	3.636	0.6363	1.8382	0.26967	1.7089	0.197													483.99							6.0732	15.7	21.56				5.5605										17	6				261				6.87			230.81	2.645		28.0049			14.8			17.1725		182									
CG342		GEOROC	WRIGHT, H. M. N.; FOLKES, C. B.; CAS, R. A. F.; CASHMAN, K. V., 2011		-25.7141	-66.7594	0.01				igneous	volcanic	felsic	dacite		70.299	0.609	15.012					2.459		0.047	1.198	2.575	3.325	4.314	0.162						0.00529					0.107287		4.8		57.9																								50.5	96.5	11.3156	40.8	7.59029	1.21071	5.53287	0.790534	4.11554	0.718482	1.78834	0.259509	1.55286	0.234344			0.04849										330.9								15.4	25.6	4.8	23.3		5.5667										20	0.107287		22.4		273.7				8.3			268.7	2.38257		31.3			20.6	56.2		18.9	57.9	188.2									
CG341		GEOROC	WRIGHT, H. M. N.; FOLKES, C. B.; CAS, R. A. F.; CASHMAN, K. V., 2011		-25.5731	-66.8535	0.01				igneous	volcanic	felsic	dacite		69.851	0.613	14.805					3.025		0.058	1.185	2.652	3.387	4.224	0.201						0					1.01314		14.1		74.8																								44.1	88.8	10.6353	35.9	7.43895	1.17811	5.60929	0.79516	4.13278	0.723027	1.79124	0.257143	1.54527	0.232552			0.0891										320.3								13.2	53.4	14.1	22.9		5.5737										18.9	1.01314		20.4		326.7				7.7			269.9	2.29303		29.8			11.1	64.6		18.8	74.8	189.4									
CG204		GEOROC	WRIGHT, H. M. N.; FOLKES, C. B.; CAS, R. A. F.; CASHMAN, K. V., 2011		-25.6726	-66.6975	0.01				igneous	volcanic	felsic	dacite		68.156	0.883	14.898					4.335		0.063	1.464	2.568	3.236	4.11	0.286						0.01203					4.68706		21.1		83.9																								93.1	200.1	22.3099	74.3	12.1249	1.37759	7.73142	0.996106	4.85029	0.832683	2.06738	0.296278	1.8073	0.27272			0.0552										279.6								22	25.9	21.1	26.4		8.06199										25.9	4.68706		26.8		271.3				9.9			254.3	2.83673		44.1			12.5	98.1		23.2	83.9	279									
CG12B		GEOROC	WRIGHT, H. M. N.; FOLKES, C. B.; CAS, R. A. F.; CASHMAN, K. V., 2011		-25.6655	-66.8634	0.01				igneous	volcanic	felsic	dacite		69.537	0.625	15.053					2.986		0.047	1.153	2.734	3.491	4.174	0.201						0					8.49623		5.3		55.7																								54.1	105.1	12.1008	43.5	8.10497	1.24924	5.9257	0.815755	4.15739	0.71211	1.78846	0.248538	1.4919	0.218561			0.01911										342.3								17.2	10.5	5.3	22.9		5.59688										19.4	8.49623		16		244.7				6.8			278.6	2.21732		31.6			11.9	70.2		18.8	55.7	199.2									
SAF368		GEOROC	KAY, S. M.; COIRA, B. L.; WÖRNER, G.; KAY, R. W.; SINGER, B. S., 2011		-25.6542	-66.8467	0.01				igneous	volcanic	felsic	dacite		69.691	0.631	15.173					3.034		0.045	1.16	2.626	3.379	4.055	0.205		0.264321									7.92611	6.0662																											55.1887	117.576		46.9788	8.44461	1.14372		0.719194					1.47002	0.176469													562.308							6.0662	15.9654	17.4521				5.63177										16.0423	7.92611		21.0556		212.561				6.75501			294.778	1.97595		28.6388			9.57218			16.0423		182.481									
CG338		GEOROC	WRIGHT, H. M. N.; FOLKES, C. B.; CAS, R. A. F.; CASHMAN, K. V., 2011		-25.492	-66.8631	0.01				igneous	volcanic	felsic	dacite		69.247	0.612	15.136					3.044		0.051	1.187	2.668	3.283	4.557	0.214						0.00432					0.708725		22.6		63.9																								48.3	100	11.7891	39	8.13622	1.26516	5.96816	0.823069	4.26549	0.729983	1.82376	0.2572	1.56281	0.230733			0.02644										389.1								14.4	29.6	22.6	22.6		5.59318										19.3	0.708725		25.7		292.4				7.5			274.2	2.35705		29.2			12.4	67.5		21	63.9	193.1									
SAF366A		GEOROC	KAY, S. M.; COIRA, B. L.; WÖRNER, G.; KAY, R. W.; SINGER, B. S., 2011		-25.7031	-66.8793	0.01				igneous	volcanic	felsic	dacite																												4.9568																											37.052	78.28		32.5447	6.7004	0.867		0.66					1.42	0.171													406.134							4.9568	12.65	80.7																							6.4888			221	2.4605		21.047			10.2855														
SAF365A		GEOROC	KAY, S. M.; COIRA, B. L.; WÖRNER, G.; KAY, R. W.; SINGER, B. S., 2011		-25.5784	-66.9102	0.01				igneous	volcanic	felsic	dacite																												6.0699																											43.0442	92.3		38.2463	8.0069	0.954		0.629					1.69	0.205													328.08							6.0699	13.2	28.799																							6.77			247.3	2.4879		29.4335			15.7629														
CG 308		GEOROC	FOLKES, C. B.; DE SILVA, S. L.; WRIGHT, H. M. N.; CAS, R. A. F., 2011		-25.744	-66.8941	0.01				igneous	volcanic	felsic	rhyodacite		71.6	0.441	15.021					2.003		0.04	0.951	2.203	3.004	4.606	0.13		3									2.4		7.6		51.8																								42.4	83.8	9.6	33.8	6.5	1.1	4.6	0.64	3.2	0.56	1.4	0.2	1.2	0.19													483.3								20.9	164.2	7.6	20.6		4.6										17.1	2.4		26.3		277.5				6.2			274.8	1.9		28.8			24.2	54.8		15.5	51.8	157.4									
CG 309		GEOROC	FOLKES, C. B.; DE SILVA, S. L.; WRIGHT, H. M. N.; CAS, R. A. F., 2011		-25.744	-66.8941	0.01				igneous	volcanic	felsic	rhyodacite		71.257	0.49	14.891					1.999		0.04	1.099	2.299	3.198	4.597	0.13		2.8									2.9		7		56.2																								45.2	88.7	10	35	6.4	1.1	4.6	0.64	3.2	0.58	1.5	0.21	1.3	0.2													499.1								21.5	134.9	7	21.8		4.8										17.1	2.9		26.9		273.1				6			262.5	2		30.1			19.7	43.5		16.5	56.2	158									
SAF364		GEOROC	KAY, S. M.; COIRA, B. L.; WÖRNER, G.; KAY, R. W.; SINGER, B. S., 2011		-25.5178	-66.9584	0.01				igneous	volcanic	felsic	dacite		68.413	0.623	15.934					3.025		0.041	1.096	2.79	3.616	4.271	0.192		0.165661									7.10511	6.43385																											51.7182	105.085		44.9798	8.06916	1.23359		0.670225					1.29874	0.164963													716.871							6.43385	16.2567	13.4271				5.7271										16.0264	7.10511		21.0347		205.338				6.38913			330.545	1.85329		24.4114			8.94605			15.0248		182.3									
SAF365		GEOROC	KAY, S. M.; COIRA, B. L.; WÖRNER, G.; KAY, R. W.; SINGER, B. S., 2011		-25.5784	-66.9102	0.01				igneous	volcanic	felsic	dacite		69.335	0.618	15.159					3.106		0.055	1.181	2.713	3.52	4.106	0.205		0.508108									11.0816	7.59867																											55.3198	111		46.8	8.8	1.22		0.7					1.60903	0.202406													584.805							7.59867	16.5148	22.4865				5.33931										17	11.0816				234				7.18174			290.473	2.2096		27.7834			11.4782			17.0866		167									
