SAMPLE ID	IGSN	SOURCE	REFERENCE	CRUISE ID	LATITUDE	LONGITUDE	LOC PREC	MIN AGE	AGE	MAX AGE	MATERIAL	TYPE	COMPOSITION	ROCK NAME	MINERAL	SIO2	TIO2	AL2O3	CR2O3	FE2O3	FE2O3T	FEO	FEOT	NIO	MNO	MGO	CAO	NA2O	K2O	P2O5	BAO	LOI	H2O	H2O_M	H2O_P	SO3	V2O3	ZNO	FE	MN	NI	CO	CU	CD	ZN	AS	AG	S	AL	CA	MG	SR87_SR86	SR87_SR86_INI	RB87_SR86	ND143_ND144	SM147_ND144	PB206_PB204	PB207_PB204	PB208_PB204	BE10	BE10_BE9	SR87_SR86_INI	AR	AR39	AR40	AR38_AR36	AR40_AR36	AR40_AR39	LA	CE	PR	ND	SM	EU	GD	TB	DY	HO	ER	TM	YB	LU	CO2	F	CL	OH	U238_PB204	TH232_PB204	RA	AG	AL	AS	AU	B	BA	BE	BI	BR	C	CA	CD	CO	CR	CS	CU	GA	GER	HF	HG	I	INDIUM	K	LI	MG	MN	MO	NA	NB	NI	P	PB	PD	RB	RE	S	SB	SC	SE	SN	SR	TA	TE	TH	TI	TL	U	V	W	Y	ZN	ZR	TI	AS	AS	GER	H2O_M	H2O_P	H2O_M	H2O_P	INDIUM
80-76		GEOROC	VATIN-PERIGNON, N.; OLIVER, R. A.; GOEMANS, P.; KELLER, F.; BRIQUEU, L.; SALAS, A. G., 1992		-15.42	-72.9	0.01	1.5	2.5	3.5	igneous	volcanic	felsic	dacite		66.156	0.762	16.278					3.991		0.052	0.71	4.007	4.31	3.391	0.344		2.82									14	10	44		89																								39.9	81.3			5.06	1.23		0.49					0.95	0.15													1090							10	21		44			5.2					8					9.6	14				100							604			10.6				88			89										
PIG-00-10		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-14.6986	-74.5156	0.01	5.3	14.15	23	igneous	volcanic	felsic	rhyolite		75.552	0.231	13.404					1.508		0.07	0.264	0.944	3.971	4.031	0.025											1	1	1	0.0910441	23																								5.64585	10.0093	1.17189	3.76222	0.589449	0.0772762	0.526277	0.0818489	0.581751	0.131215	0.448318	0.0784637	0.61079	0.101822													502						0.0910441	1	3	10.583	1	17		3.26132					7.41055			5.11197		12	1		12		206				2			82	0.83438		6.67074			2.54816	10	3.60852	16	23	121									
PIG-00-11		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-14.6986	-74.5156	0.01	16	19.5	23	igneous	volcanic	felsic	rhyolite		70.695	0.477	14.889					2.661		0.068	0.364	1.572	3.405	5.789	0.081											2	7	6		< 2																																																		6							7	4		6	21												90	2		17		12							241							80		25	< 2	13									
PIG-00-04		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.7531	-73.4219	0.01	5.3	14.15	23	igneous	volcanic	felsic	rhyolite		73.64	0.28	13.94					1.736		0.095	0.283	1.445	4.606	3.889	0.087											151.443	35.9653	30.5536	0.1248	97.4521																								43.4625	84.424	10.2981	40.7141	7.5124	2.104	6.2111	0.8331	4.5966	0.769	2.0685	0.3078	1.7871	0.2852													885.572						0.1248	35.9653	529.933	2.1099	30.5536	21.3971		4.7783								1.2704		18.2799	151.443				51.7247							751.847	1.2727		6.5841			1.8229	198.387	0.7686	23.251	97.4521	199.431									
PIG-02-85		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.5475	-72.8444	0.01	2.6	12.8	23	igneous	volcanic	felsic	dacite		68.62	0.702	17.743					2.751		0.069	0.641	1.208	3.164	4.992	0.11											2	17	24	0.30256	95																								24.878	49.2721	6.15142	23.1711	4.27892	1.07886	3.65944	0.477188	2.76562	0.512286	1.425	0.195956	1.3096	0.20339													838						0.30256	17	9	2.47173	24	20		4.54379					8.07779			3.83689		7	2		20		71				9			642	0.64515		7.70206			1.67905	92	2.18402	19	95	166									
COTA-05-10		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.3764	-73.0719	0.01	0.01	1.305	2.6	igneous	volcanic	felsic	dacite		67.828	0.589	16.226					2.993		0.048	1.028	2.913	4.777	3.356	0.242											21	13	33	0.0552231	58																								13.5025	27.4793	3.44226	13.6229	2.51372	0.650543	2.11475	0.281071	1.65035	0.325779	0.854244	0.125029	0.843305	0.127578													921						0.0552231	13	53	1.82186	33			3.81425					7.93755			2.3752		6	21		11.7765		72				7.9858			557	0.374495		3.89237			0.785787	82	0.587208	13	58	151									
OCO-06B-02		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.6466	-73.0912	0.01	2.6	12.8	23	igneous	volcanic	felsic	rhyolite		71.486	0.325	13.978					1.438		0.073	0.342	3.076	4.553	4.674	0.056											4	7	11	0.137	70																								20.9	56.2	5.27	19	3.38	0.818	3.01	0.359	1.86	0.338	0.973	0.136	0.897	0.138													1124						0.137	7	3	2.55	11	18		4.49					12.9			2.67		12	4		13		115				7			484	0.514		7.82			1.28	56	0.959	13	70	231									
PIG-00-06		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.7111	-73.4575	0.01	2.6	12.8	23	igneous	volcanic	felsic	rhyolite		72.772	0.339	14.413					1.569		0.073	0.312	0.837	4.959	4.667	0.059											0.399007	< 1	6.57671	0.0975809	57																								4.19714	8.16156	1.15591	4.10752	0.843015	0.0580788	0.707655	0.103522	0.621069	0.120813	0.364655	0.0572086	0.410269	0.063261													42						0.0975809	< 1	8	11.0227	6.57671	20		3.0296					9.95346			2.5286		15	0.399007		27		222				1			19	1.71336		4.8703			1.56215	2	3.26151	9	57	80									
80-77B		GEOROC	VATIN-PERIGNON, N.; OLIVER, R. A.; GOEMANS, P.; KELLER, F.; BRIQUEU, L.; SALAS, A. G., 1992		-15.42	-72.9	0.01	0.5	1	1.5	igneous	volcanic	felsic	dacite		68.671	0.572	15.602					2.995		0.052	1.051	2.788	4.473	3.537	0.26		2.77									9	7	28		71																								36.1	72.4			4.76	1.1		0.34					0.75	0.12													1110							7	11		28			4.9					29					18	9				94							615			8.9				65			71	205									
PIG-02-89		GEOROC	MAMANI, M.; WÖRNER, G.; SEMPERE, T., 2010		-15.7961	-72.86	0.01	2.6	3.95	5.3	igneous	volcanic	felsic	rhyolite		73.773	0.293	14.191					1.377		0.056	0.231	0.644	4.599	4.791	0.044											12	12	12		62																								32	62		30	5.5	0.9		1.4					3.2	0.45													566							12	21	11	12	17.8												16	12		6		177							258							89		36	62	195									
